Aircraft,Total.Aircraft.Records,Aircraft.Accidents,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make,Model,Mean.Fatalities.per.Accident,Accident.Severity
CESSNA 152,2284,2270,359.0,359.0,412.0,2308.0,CESSNA,152,0.1581497797356828,Low
CESSNA 172,1581,1577,265.0,265.0,349.0,2112.0,CESSNA,172,0.16804058338617628,Low
CESSNA 172N,1094,1092,378.0,378.0,313.0,1297.0,CESSNA,172N,0.34615384615384615,Low
PIPER PA-28-140,906,903,311.0,311.0,395.0,824.0,PIPER,PA-28-140,0.3444075304540421,Low
CESSNA 150,767,760,97.0,97.0,190.0,727.0,CESSNA,150,0.12763157894736843,Low
CESSNA 172M,749,745,208.0,208.0,237.0,1040.0,CESSNA,172M,0.2791946308724832,Low
CESSNA 172P,635,632,199.0,199.0,192.0,761.0,CESSNA,172P,0.314873417721519,Low
CESSNA 180,572,572,93.0,93.0,62.0,919.0,CESSNA,180,0.16258741258741258,Low
CESSNA 150M,562,560,99.0,99.0,139.0,551.0,CESSNA,150M,0.1767857142857143,Low
PIPER PA-28-180,558,557,255.0,255.0,174.0,592.0,PIPER,PA-28-180,0.4578096947935368,Low
PIPER PA-28-161,551,547,208.0,208.0,155.0,668.0,PIPER,PA-28-161,0.3802559414990859,Low
CESSNA 182,505,502,124.0,124.0,130.0,670.0,CESSNA,182,0.24701195219123506,Low
PIPER PA-18,502,502,80.0,80.0,93.0,546.0,PIPER,PA-18,0.1593625498007968,Low
PIPER PA-28-181,499,498,362.0,362.0,176.0,605.0,PIPER,PA-28-181,0.7269076305220884,Low
PIPER PA-18-150,466,466,78.0,78.0,57.0,505.0,PIPER,PA-18-150,0.16738197424892703,Low
PIPER PA-38-112,457,453,94.0,94.0,73.0,486.0,PIPER,PA-38-112,0.20750551876379691,Low
CESSNA 150L,440,438,117.0,117.0,113.0,350.0,CESSNA,150L,0.2671232876712329,Low
BEECH A36,392,389,306.0,306.0,108.0,440.0,BEECH,A36,0.7866323907455013,Low
CESSNA 140,389,389,42.0,42.0,73.0,407.0,CESSNA,140,0.10796915167095116,Low
CESSNA 170B,382,382,58.0,58.0,62.0,560.0,CESSNA,170B,0.1518324607329843,Low
CESSNA 172S,355,348,73.0,73.0,37.0,408.0,CESSNA,172S,0.20977011494252873,Low
PIPER PA-24-250,341,338,166.0,166.0,98.0,357.0,PIPER,PA-24-250,0.4911242603550296,Low
CESSNA 182P,326,322,123.0,123.0,125.0,346.0,CESSNA,182P,0.38198757763975155,Low
PIPER PA-28R-200,316,312,177.0,177.0,77.0,380.0,PIPER,PA-28R-200,0.5673076923076923,Low
PIPER PA-12,285,284,63.0,63.0,59.0,327.0,PIPER,PA-12,0.22183098591549297,Low
CESSNA 177,279,279,77.0,77.0,107.0,335.0,CESSNA,177,0.27598566308243727,Low
